"","routing_number","telegraphic_name","customer_name","state_or_territory_abbreviation","city","funds_transfer_status:
				y_-_eligible
				n_-_ineligible","funds_settlement-only_status:
				s_-_settlement-only","book-entry_securities_transfer_status:
				y_-_eligible
				n_-_ineligible","date_of_last_revision:_yyyymmdd,_or_blank"
"1","011000015","FRB-BOS           ","FEDERAL RESERVE BANK OF BOSTON      ","MA","BOSTON                   ","Y"," ","Y","20040910"
"2","011000028","STATE ST BOS      ","STATE STREET BOSTON                 ","MA","BOSTON                   ","Y"," ","Y","        "
"3","011000536","FHLB BOSTON       ","FEDERAL HOME LOAN BANK              ","MA","BOSTON                   ","Y"," ","Y","        "
"4","011001234","MELLON TRUST OF NE","THE BANK OF NEW YORK MELLON         ","MA","BOSTON                   ","Y"," ","N","20120815"
"5","011001276","ONEUNITED BANK    ","ONEUNITED BANK                      ","MA","BOSTON                   ","Y"," ","Y","20021231"
"6","011001881","FIDUCIARY TR BOS  ","FIDUCIARY TRUST COMPANY             ","MA","BOSTON                   ","Y"," ","Y","        "
"7","011002343","BOSTON PRIVATE BK ","THE BOSTON PRIVATE BK. & TR CO      ","MA","BOSTON                   ","Y"," ","Y","        "
"8","011002550","EASTERN BANK LYNN ","EASTERN BANK                        ","MA","BOSTON                   ","Y"," ","N","20110318"
"9","011002877","EW BK SMRINO      ","EAST WEST BANK                      ","MA","BOSTON                   ","Y"," ","N","20141107"
"10","011075150","SANTANDER BK      ","SANTANDER BANK, N.A.                ","PA","WYOMISSING               ","Y"," ","Y","20131029"
"11","011075202","SANTANDER BK      ","SANTANDER BANK, N.A.                ","MA","BOSTON                   ","Y"," ","N","20140414"
"12","011102133","EASTHAMPTON SVGS  ","EASTHAMPTON SAVINGS BANK            ","MA","EASTHAMPTON              ","Y"," ","N","20151014"
"13","011102353","FIRST SUFFIELD    ","FIRST NAT. BANK OF SUFFIELD         ","CT","SUFFIELD                 ","Y"," ","Y","        "
"14","011102502","UNION SAVINGS     ","UNION SAVINGS BANK                  ","CT","LITCHFIELD               ","Y"," ","N","20101223"
"15","011102612","SALISBURY LAKEVLLE","SALISBURY BANK & TRUST CO.          ","CT","LAKEVILLE                ","Y"," ","Y","        "
"16","011102638","NATLIRON SALISBURY","THE NATIONAL IRON BANK              ","CT","SALISBURY                ","Y"," ","Y","        "
"17","011102667","CANAAN NATL       ","SALISBURY BANK & TRUST CO.          ","CT","CANAAN                   ","Y"," ","N","20141107"
"18","011103093","TD BANK, NA       ","TD BANK, NA                         ","CT","GLASTONBURY              ","Y"," ","N","20141107"
"19","011104322","FST CITY N BRITAIN","WEBSTER BANK, N.A.                  ","CT","NEW BRITAIN              ","Y"," ","N","20100416"
"20","011104335","PRIME BANK ORANGE ","PRIME BANK                          ","CT","ORANGE                   ","Y"," ","Y","        "
"21","011104351","SIMSBURY B&T      ","SIMSBURY BANK AND TRUST CO          ","CT","SIMSBURY                 ","Y"," ","Y","19991223"
